,Zl,Z,Zu,alpha,spread
455,196410,0.0006429554129678,198430,0.0,2020
456,196600,0.0006429554129678,200410,0.0,3810
457,191160,0.0006432769549762,192180,0.0,1020
458,197040,0.0006432769549762,197760,0.0,720
459,197350,0.0006429554129678,199490,0.0,2140
460,195360,0.0006432769549762,199620,0.0,4260
461,194520,0.0006432769549762,203220,0.0,8700
462,196980,0.0006432769549762,197760,0.0,780
463,195300,0.0006432769549762,198900,0.0,3600
464,197400,0.0006432769549762,197460,0.0,60
465,190500,0.0006432769549762,204420,39.79932859084452,13920
466,196560,0.0006432769549762,197460,0.0,900
467,186780,0.0006432769549762,414480,472.7656394199981,227700
468,194380,0.0006429554129678,194730,0.0,350
469,196860,0.0006432769549762,197640,0.0,780
470,196260,0.0006429554129678,199360,0.0,3100
471,181980,0.0006432769549762,197640,0.0,15660
472,197640,0.0006432769549762,197700,0.0,60
473,197100,0.0006432769549762,197880,0.0,780
474,197820,0.0006432769549762,197880,0.0,60
475,197890,0.0006429554129678,198080,0.0,190
476,197460,0.0006432769549762,198300,0.0,840
477,195030,0.0006429554129678,201630,0.0,6600
478,198060,0.0006432769549762,201360,0.0,3300
479,197810,0.0006429554129678,198030,0.0,220
480,195480,0.0006432769549762,200340,0.0,4860
481,197880,0.0006432769549762,197940,0.0,60
482,196620,0.0006432769549762,198900,0.0,2280
483,196440,0.0006432769549762,198720,0.0,2280
484,197520,0.0006432769549762,198360,0.0,840
485,194460,0.0006432769549762,194580,3.776231923287938e-07,120
486,197350,0.0006429554129678,198450,0.0,1100
487,193260,0.0006432769549762,195000,6.523270093251614e-07,1740
488,196980,0.0006432769549762,198540,0.0,1560
489,197350,0.0006429554129678,198450,0.0,1100
490,196380,0.0006432769549762,202440,0.0,6060
491,193980,0.0006432769549762,195120,0.0,1140
492,190980,0.0006432769549762,204840,0.0,13860
493,191520,0.0006432769549762,199980,0.0,8460
494,196380,0.0006432769549762,202500,0.0,6120
495,195460,0.0006429554129678,199140,0.0,3680
496,196380,0.0006432769549762,202440,0.0,6060
497,190980,0.0006432769549762,204840,0.0,13860
498,196380,0.0006432769549762,202440,0.0,6060
499,196380,0.0006432769549762,202440,0.0,6060
500,196380,0.0006432769549762,202500,0.0,6120
501,196260,0.0006432769549762,199860,0.0,3600
502,187920,0.0006432769549762,200340,0.0,12420
503,196380,0.0006432769549762,202440,0.0,6060
504,196380,0.0006432769549762,202440,0.0,6060
505,196920,0.0006432769549762,199320,0.0,2400
506,190920,0.0006432769549762,204780,0.0,13860
507,196380,0.0006432769549762,202500,0.0,6120
