,pool_block,pool_timestamp,adjusted_current_price,current_tick,tick_lower,tick_upper,adjusted_amount0,token0,adjusted_amount1,token1,alpha
126264,12370624,1620169800,0.0006422485861802988,202815,194880,195480,0.0,USDC,0.0,WETH,0.0
126266,12370624,1620169800,0.0006422485861802988,202815,194880,195480,0.0,USDC,0.0,WETH,0.0
126276,12370624,1620169800,0.0006422485861802988,202815,191880,200220,0.0,USDC,0.0,WETH,0.0
126278,12370624,1620169800,0.0006422485861802988,202815,195000,195900,0.0,USDC,0.0,WETH,0.0
126286,12376729,1620250931,0.0006431483188810073,202829,195150,195670,0.0,USDC,0.0,WETH,0.0
126291,12370624,1620169800,0.0006422485861802988,202815,194160,196680,0.0,USDC,0.0,WETH,0.0
126296,12376729,1620250931,0.0006431483188810073,202829,192480,198270,0.0,USDC,0.0,WETH,0.0
126305,12370624,1620169800,0.0006422485861802988,202815,195240,195300,0.0,USDC,0.0,WETH,0.0
126309,12376729,1620250931,0.0006431483188810073,202829,193630,196600,0.0,USDC,0.0,WETH,0.0
126317,12370624,1620169800,0.0006422485861802988,202815,194820,195360,0.0,USDC,0.0,WETH,0.0
126332,12370624,1620169800,0.0006422485861802988,202815,192600,198240,0.0,USDC,0.0,WETH,0.0
126334,12376729,1620250931,0.0006431483188810073,202829,193380,195530,0.0,USDC,0.0,WETH,0.0
126335,12376729,1620250931,0.0006431483188810073,202829,194860,195850,0.0,USDC,0.0,WETH,0.0
126337,12370624,1620169800,0.0006422485861802988,202815,194640,196080,0.0,USDC,0.0,WETH,0.0
12635,12370624,1620169800,0.0006422485861802988,202815,190740,194760,0.0,USDC,0.0,WETH,0.0
126364,12376729,1620250931,0.0006431483188810073,202829,193130,197690,0.0,USDC,0.0,WETH,0.0
12637,12370624,1620169800,0.0006422485861802988,202815,192420,192780,0.0,USDC,0.0,WETH,0.0
126373,12376729,1620250931,0.0006428911238554261,202825,195010,195460,0.0,USDC,0.0,WETH,0.0
126378,12370624,1620169800,0.0006422485861802988,202815,194580,195600,0.0,USDC,0.0,WETH,0.0
126390,12376729,1620250931,0.0006428911238554261,202825,195030,195490,0.0,USDC,0.0,WETH,0.0
126394,12370624,1620169800,0.0006422485861802988,202815,191220,196260,0.0,USDC,0.0,WETH,0.0
126400,12370624,1620169800,0.0006422485861802988,202815,188340,202200,0.0,USDC,0.0,WETH,0.0
126413,12370624,1620169800,0.0006422485861802988,202815,188400,202260,0.0,USDC,0.31438315546887,WETH,0.00020191213711878285
12642,12370624,1620169800,0.0006422485861802988,202815,191760,193860,0.0,USDC,0.0,WETH,0.0
126422,12370624,1620169800,0.0006422485861802988,202815,188400,202260,0.0,USDC,0.0,WETH,0.0
126425,12370624,1620169800,0.0006422485861802988,202815,188400,202260,0.0,USDC,0.0,WETH,0.0
12643,12370624,1620169800,0.0006422485861802988,202815,191280,194040,0.0,USDC,0.0,WETH,0.0
126431,12376729,1620250931,0.0006428911238554261,202825,193140,196800,0.0,USDC,0.0,WETH,0.0
126451,12370624,1620169800,0.0006422485861802988,202815,192720,220560,0.0,USDC,0.0,WETH,0.0
126456,12370624,1620169800,0.0006422485861802988,202815,193380,196680,0.0,USDC,0.0,WETH,0.0
126458,12376729,1620250931,0.0006428911238554261,202825,195360,196260,0.0,USDC,0.0,WETH,0.0
126461,12376729,1620250931,0.0006428911238554261,202825,195140,195770,0.0,USDC,0.0,WETH,0.0
126467,12370624,1620169800,0.0006422485861802988,202815,188400,202260,0.0,USDC,0.0,WETH,0.0
12647,12370624,1620169800,0.0006422485861802988,202815,191940,194940,0.0,USDC,0.0,WETH,0.0
126489,12376729,1620250931,0.0006428911238554261,202825,194570,196090,0.0,USDC,0.0,WETH,0.0
126493,12370624,1620169800,0.0006422485861802988,202815,188580,194640,0.0,USDC,0.0,WETH,0.0
126502,12370624,1620169800,0.0006422485861802988,202815,188400,202260,0.0,USDC,0.0,WETH,0.0
126511,12370624,1620169800,0.0006422485861802988,202815,194700,195780,0.0,USDC,0.0,WETH,0.0
126518,12370624,1620169800,0.0006422485861802988,202815,195780,196620,0.0,USDC,0.0,WETH,0.0
126519,12376729,1620250931,0.0006428911238554261,202825,194280,195240,0.0,USDC,0.0,WETH,0.0
126521,12370624,1620169800,0.0006422485861802988,202815,192060,198840,0.0,USDC,0.0,WETH,0.0
126523,12370624,1620169800,0.0006422485861802988,202815,194460,195000,0.0,USDC,0.0,WETH,0.0
126527,12370624,1620169800,0.0006422485861802988,202815,188340,202200,0.0,USDC,0.0,WETH,0.0
126528,12370624,1620169800,0.0006422485861802988,202815,194220,196440,0.0,USDC,0.0,WETH,0.0
126536,12376729,1620250931,0.0006428911238554261,202825,194550,195290,0.0,USDC,0.0,WETH,0.0
126546,12370624,1620169800,0.0006422485861802988,202815,194220,196440,0.0,USDC,0.0,WETH,0.0
